iso639_3,nabu_name,usage,glottocode,glottolog_name,n_candidates,austlang_code,austlang_name,austlang_synonyms,methods,km_from_reference,chirila_picks,choose,notes
wbp,Warlpiri,1918,warl1254,Warlpiri,5,C15,Warlpiri,Warlpiri | Lander Warlpiri | Ngalia | Walbiri | Walmalla | Walpiri | Waneiga | Warlmala | Walpiri | Alpira | Alpiri | Elpira | Ilpara | Ilpira | Ilpirra | Nambulatji | Njambalatji | Ulperra | Wailbri ,"glottolog-name, glottolog-name→synonym, nabu-name, nabu-name→synonym",37,,,
wbp,Warlpiri,1918,warl1254,Warlpiri,5,C15.1,Wakirti Warlpiri,Warlpiri | Eastern Warlpiri | Ali Curung | Hanson River Warlpiri | Warrabri Warlpiri | Ali Curung Warlpiri; Warrabri Warlpiri | Wageer | Wager | Wagier | Wagir | Wahgir | Wahkeer | Wahker | Wahkier | ,"glottolog-name→synonym, nabu-name→synonym",222,,,
wbp,Warlpiri,1918,warl1254,Warlpiri,5,C38,Ngardilypa,Ngardilpa | Warlpiri | Ngardilba/Wanayaga,"glottolog-name→synonym, nabu-name→synonym",147,,,
wbp,Warlpiri,1918,warl1254,Warlpiri,5,C41,Yarlpiri,Lander Yalpari,"chirila:glottocode*, chirila:iso*",121,True,,
wbp,Warlpiri,1918,warl1254,Warlpiri,5,C43,Ngaliya,Warlpiri,"glottolog-name→synonym, nabu-name→synonym",190,,,
gue,Gurindji,1632,guri1247,Gurindji,7,C20,Gurindji,Gurindji | Kuurrinjtji | Gurinji | Kartangarurru | Korindji | Kurintji | Malngin | Tjial | Wandjira | Coorinji | Corringi | Garundji | Goarango | Guirindji | Gurindzi | Gurrinji | Guurindji | Koorangi,"chirila:glottocode, chirila:iso, glottolog-name, glottolog-name→synonym, nabu-name, nabu-name→synonym",77,,,
gue,Gurindji,1632,guri1247,Gurindji,7,K30,Malngin,Gurinji | Gurindji | Kartangarurru | Korindji | Kurintji | Tjial | Wandjira | Maialnga | Mailnga | Malgin | Malngjin | Western,"chirila:iso, glottolog-name→synonym, nabu-name→synonym",111,,,
gue,Gurindji,1632,guri1247,Gurindji,7,C30,Eastern Gurindji,Gurindji | Eastern,"glottolog-name→synonym, nabu-name→synonym",80,,,
gue,Gurindji,1632,guri1247,Gurindji,7,C34,Kartangarurru,Gurindji | Korindji | Kurintji | Malngin | Tjial | Wandjira | Kartangaruru | Pirlingarna,"glottolog-name→synonym, nabu-name→synonym",247,,,
gue,Gurindji,1632,guri1247,Gurindji,7,C35,Kuwarranyji,Gurindji | Kwaranjee | Kwarandji | Kuwarrangu | Kooringee | Coorinji | Goarango | Gurindzi | We arr ung,"glottolog-name→synonym, nabu-name→synonym",211,,,
gue,Gurindji,1632,guri1247,Gurindji,7,K34,Jiyil,Gurindji | Tjial | Kartangarurru | Korindji | Kurintji | Malngin | Wandjira | Djial | Jiyilawung | Cheeal | Jael | Jeelowng | Geelowng,"glottolog-name→synonym, nabu-name→synonym",27,,,
gue,Gurindji,1632,guri1247,Gurindji,7,K21,Wanyjirra,Wanjdjirra | Gurinji | Wandjira | Wadshara | Manu | Manoo,chirila:iso,139,,,
mph,Maung,701,maun1240,Mawng,2,N64,Mawng,Maung | Mawung | Gun marung | Gunmarung | Managari | Manangari | Marung | Mau | Maw | Men ngai | Kunmarung | Mauung | Gunmarang,"chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name→synonym",17,True,,
mph,Maung,701,maun1240,Mawng,2,C5,Antikarinya,Antikarinya | Antakarinya | Antakarinja | Andagirinja | Aldolinga | Alinjerra | Aluna Aluna | Andagarindja | Andagarinja | Andakirinja | Andayarinja | Andegilliga | Andekarinja | Andekerinja | Andgari,nabu-name→synonym,1710,,,
gup,Gunwinggu,654,gunw1252,Bininj Kun-Wok,8,N44,Mayali,Gunwinjgu | Mayali | Bininj Gun wok | Neinggu | Gunwinggu | Kundjeymi | Djeibmi | Gundjeibmi | Maia:li | Maiaili | Maiali | Maiawali | Maieli | Maielli | Mailly | Majali | Majeli | Majuli | Mayaalia |,"chirila:glottocode, chirila:iso, nabu-name→synonym",217,,,
gup,Gunwinggu,654,gunw1252,Bininj Kun-Wok,8,N65,Kunwinjku,Gunwinjgu | Mayali | Bininj Gun wok | Neinggu | Gunwinggu | Mangeri | Mengerrdji | Menngarr | Gumawurag | Gunawitji | Gundeidjeme | Gundeijeme | Gundjajeimi | Gundjeibmi | Gundjeipmi | Gunei | Gunrerg,"chirila:glottocode, chirila:iso, nabu-name→synonym",23,,,
gup,Gunwinggu,654,gunw1252,Bininj Kun-Wok,8,N70,Kune,Gunwinggu,"chirila:glottocode, chirila:iso, nabu-name→synonym",112,,,
gup,Gunwinggu,654,gunw1252,Bininj Kun-Wok,8,N71,Gundjeihmi,Kundjeymi | Djeibmi | Gundjeibmi | Mayali | Gundeidjeme | Gundeidjemi | Gundjeipmi | Djebmi | Gunwinggu | Gundjepmi | Gundjipmi | Gundeij e me | Djeihmi | Djepmi | Maiali | Gunwingu | Gunwingo | Wengi,"chirila:glottocode, chirila:iso, nabu-name→synonym",84,,,
gup,Gunwinggu,654,gunw1252,Bininj Kun-Wok,8,N186,Bininj Gun-wok / Bininj Kunwok,Kunwinjkuan | Bininj Gunwok,glottolog-name,34,,,
gup,Gunwinggu,654,gunw1252,Bininj Kun-Wok,8,N201,Gumadir,Gunwinggu,nabu-name→synonym,27,,,
