austlang_code,austlang_name,has_point,nabu_languages_reaching_it,nabu_usage_total,chirila_iso,chirila_glottocode,describo_glottocode,status,uri
A1,Nyaki Nyaki / Njaki Njaki,True,"nys Nyungar [chirila:glottocode, chirila:iso, nabu-name→synonym]",24,nys,nyun1247,,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a1
A2,Kalarku,True,"kba Kalarko [chirila:glottocode, chirila:iso, nabu-name→synonym]; xwj Wajuk [glottolog-name→synonym, nabu-name→synonym]",3,kba,kala1379,,2 Nabu languages,https://collection.aiatsis.gov.au/austlang/language/a2
A3,Ngadjumaya / Ngadju,True,"nju Ngadjunmaya [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name→synonym]",3,nju,ngad1258,,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a3
A4,Kalaamaya,True,"lkm Kalaamaya [chirila:glottocode, chirila:iso, glottolog-name, nabu-name]; nys Nyungar [glottolog-name→synonym]",24,lkm,kala1401,,2 Nabu languages,https://collection.aiatsis.gov.au/austlang/language/a4
A5,Nungara,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a5
A6,Maduwongga,True,"mpj Martu Wangka [glottolog-name→synonym, nabu-name→synonym]; wbt Warnman [glottolog-name→synonym]",155,,,,2 Nabu languages,https://collection.aiatsis.gov.au/austlang/language/a6
A7,Tjeraridjal,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a7
A8,Murunitja,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a8
A9,Mirning,True,"gmr Mirning [describo, glottolog-name→synonym, nabu-name]; xrg Minang [chirila:iso]",0,xrg,mirn1243,mirn1245,2 Nabu languages,https://collection.aiatsis.gov.au/austlang/language/a9
A10,Ngurlu,False,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a10
A11,Waljen,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a11
A12,Wangkatha,True,"pii Pini [glottolog-name→synonym, nabu-name→synonym]",1,,,,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a12
A13,Widi,True,"bia Badimaya [glottolog-name→synonym, nabu-name→synonym]",0,,,,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a13
A14,Badimaya,True,"bia Badimaya [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name]",0,bia,badi1246,badi1246,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a14
A16,Kuwarra,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a16
A17,Nangadadjara / Nyanganyatjara,True,"ntj Ngaanyatjarra [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name→synonym]",236,ntj,ngaa1240,,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a17
A18,Muliara,False,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a18
A19,Wardal,False,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a19
A20,Wilyara,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a20
A21,Gula,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a21
A22,Marawa,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a22
A23,Mangula,False,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a23
A24,Gurduwanga,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a24
A25,Birniridjara,False,"pii Pini [glottolog-name→synonym, nabu-name→synonym]",1,,,,one Nabu language,https://collection.aiatsis.gov.au/austlang/language/a25
A26,Djalgandi,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a26
A27,Mudalga,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a27
A28,Bunggura,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a28
A29,Wawula,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a29
A30,Ngadawanga,True,,0,,,,no Nabu language (would be a new ISO-less row),https://collection.aiatsis.gov.au/austlang/language/a30
