nabu_id,iso639_3,nabu_name,retired,usage,in_use,australian,nabu_au_country_link,has_box,glottocode,glottolog_name,glottolog_level,glottolog_closest_iso,glottolog_gap,glottolog_gap_detail,austlang_status,austlang_suggested,austlang_suggested_name,austlang_candidates,decision,notes
7611,gjr,Gurindji Kriol,False,4113,True,True,True,False,guri1249,Gurindji Kriol,language,gjr,,,none,,,,,
5261,rop,Kriol,False,2834,True,True,True,False,krio1252,Kriol,language,rop,,,single,,,"P1 Kriol [describo, glottolog-name, nabu-name]",,
6523,wbp,Warlpiri,False,1918,True,True,True,True,warl1254,Warlpiri,language,wbp,,,ambiguous,C41*,Yarlpiri,"C15 Warlpiri [glottolog-name, glottolog-name→synonym, nabu-name, nabu-name→synonym] 37 km; C15.1 Wakirti Warlpiri [glottolog-name→synonym, nabu-name→synonym] 222 km; C38 Ngardilypa [glottolog-name→synonym, nabu-name→synonym] 147 km; C41 Yarlpiri [chirila:glottocode*, chirila:iso*] 121 km; C43 Ngaliya [glottolog-name→synonym, nabu-name→synonym] 190 km",,
2115,gue,Gurindji,False,1632,True,True,True,True,guri1247,Gurindji,language,gue,,,ambiguous,,,"C20 Gurindji [chirila:glottocode, chirila:iso, glottolog-name, glottolog-name→synonym, nabu-name, nabu-name→synonym] 77 km; K30 Malngin [chirila:iso, glottolog-name→synonym, nabu-name→synonym] 111 km; C30 Eastern Gurindji [glottolog-name→synonym, nabu-name→synonym] 80 km; C34 Kartangarurru [glottolog-name→synonym, nabu-name→synonym] 247 km; C35 Kuwarranyji [glottolog-name→synonym, nabu-name→synonym] 211 km; K34 Jiyil [glottolog-name→synonym, nabu-name→synonym] 27 km; K21 Wanyjirra [chirila:iso] 139 km",,
3950,mph,Maung,False,701,True,True,True,True,maun1240,Mawng,language,mph,,,ambiguous,N64,Mawng,"N64 Mawng [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name→synonym] 17 km; C5 Antikarinya [nabu-name→synonym] 1710 km",,
2126,gup,Gunwinggu,False,654,True,True,True,True,gunw1252,Bininj Kun-Wok,language,gup,,,ambiguous,,,"N44 Mayali [chirila:glottocode, chirila:iso, nabu-name→synonym] 217 km; N65 Kunwinjku [chirila:glottocode, chirila:iso, nabu-name→synonym] 23 km; N70 Kune [chirila:glottocode, chirila:iso, nabu-name→synonym] 112 km; N71 Gundjeihmi [chirila:glottocode, chirila:iso, nabu-name→synonym] 84 km; N186 Bininj Gun-wok / Bininj Kunwok [glottolog-name] 34 km; N201 Gumadir [nabu-name→synonym] 27 km; N221 Muralidban [nabu-name→synonym] 90 km; N53 Mengerrdji [nabu-name→synonym] 36 km",,
338,ard,Arabana,False,544,True,True,True,True,arab1267,Arabana,language,ard,,,single,L13,Arabana,"L13 Arabana [chirila:glottocode, chirila:iso, glottolog-name, glottolog-name→synonym, nabu-name, nabu-name→synonym] 70 km",,
4111,mwf,Murrinh-Patha,False,538,True,True,True,True,murr1258,Murriny Patha,language,mwf,,,ambiguous,N3,Murrinh-patha,"N3 Murrinh-patha [chirila:glottocode, chirila:iso, nabu-name, nabu-name→synonym] 32 km; N158 Murrinh-kura [nabu-name→synonym] 27 km; N159 Murrinhdiminin [nabu-name→synonym] 40 km; N34 Garama [nabu-name→synonym]",,
7473,rxd,Ngardi,False,483,True,True,True,False,ngar1288,Ngardi,language,rxd,,,ambiguous,A69,Bunara,"A69 Bunara [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name→synonym] 35 km; A121 Ngardi [describo, glottolog-name, nabu-name]; A63 Waringari [glottolog-name→synonym, nabu-name→synonym]; C15 Warlpiri [glottolog-name→synonym, nabu-name→synonym] 220 km",,
4905,pjt,Pitjantjatjara,False,465,True,True,True,True,pitj1243,Pitjantjatjara,language,pjt,,,single,C6,Pitjantjatjara,"C6 Pitjantjatjara [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 194 km",,
104,aer,"Arrernte, Eastern",False,463,True,True,True,True,east2379,Eastern Arrernte,language,aer,,,ambiguous,C8.1,Anmatyerr,"C8 Arrernte [glottolog-name→synonym, nabu-name→synonym] 101 km; C8.1 Anmatyerr [chirila:glottocode, chirila:iso] 220 km",,
1010,bvr,Burarra,False,330,True,True,True,True,bura1267,Burarra,language,bvr,,,ambiguous,N191*,Gun-narta,"N191 Gun-narta [chirila:glottocode*, chirila:iso*, glottolog-name→synonym, nabu-name→synonym] 26 km; N135 Burarra [describo, glottolog-name, nabu-name]; N82 Burarra [describo, glottolog-name, nabu-name] 28 km; N190 Gun-narda [glottolog-name→synonym, nabu-name→synonym] 38 km; N81 Gun-nartpa [glottolog-name→synonym, nabu-name→synonym] 22 km; N86 Gadjalivia [glottolog-name→synonym, nabu-name→synonym]",,
7293,dmw,Mudburra,False,317,True,True,True,False,mudb1240,Mudburra,language,dmw,,,ambiguous,C25,Mudburra,"C25 Mudburra [chirila:glottocode, glottolog-name, glottolog-name→synonym, nabu-name, nabu-name→synonym] 87 km; C31 Eastern Mudburra [glottolog-name→synonym, nabu-name→synonym] 95 km; C36 Western Mudburra [glottolog-name→synonym, nabu-name→synonym] 93 km",,
260,amx,Anmatyerr,False,314,True,True,True,True,anma1239,Anmatyerre,language,amx,,,single,C8.1,Anmatyerr,"C8.1 Anmatyerr [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name] 4 km",,
6643,wrg,Warungu,False,300,True,True,True,True,waru1264,Warrongo,language,wrg,,,ambiguous,,,"Y133 Warrungu [chirila:glottocode, chirila:iso, nabu-name→synonym] 95 km; E60 Gudjal [chirila:iso?, nabu-name→synonym] 197 km; L42 Yirandali [nabu-name→synonym] 323 km; Y128 Gugu Badhun [nabu-name→synonym] 103 km; Y216 Ngaygungu [nabu-name→synonym] 143 km",,
296,aoi,Anindilyakwa,False,282,True,True,True,True,anin1240,Anindilyakwa,language,aoi,,,single,N151,Anindilyakwa,"N151 Anindilyakwa [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 10 km",,
6588,wlg,Kunbarlang,False,271,True,True,True,True,kunb1251,Kunbarlang,language,wlg,,,single,N69,Kunbarlang,"N69 Kunbarlang [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 19 km",,
6646,wrl,Warlmanpa,False,260,True,True,True,True,warl1255,Warlmanpa,language,wrl,,,ambiguous,C17,Warlmanpa,"C17 Warlmanpa [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 109 km; C42 Warrmarla [glottolog-name→synonym, nabu-name→synonym] 464 km",,
1548,djr,Djambarrpuyngu,False,247,True,True,True,True,djam1256,Djambarrpuyngu,language,djr,,,single,,,"N115 Djambarrpuyngu [describo, glottolog-name, nabu-name]",,
4566,ntj,Ngaanyatjarra,False,236,True,True,True,True,ngaa1240,Ngaanyatjarra,language,ntj,,,ambiguous,,,"A38 Ngaanyatjarra [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 25 km; A17 Nangadadjara / Nyanganyatjara [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name→synonym] 428 km; A43 Ngaatjatjarra [glottolog-name→synonym, nabu-name→synonym] 120 km",,
4330,ngk,Dalabon,False,202,True,True,True,True,ngal1292,Ngalkbun,language,ngk,,,ambiguous,N60,Dalabon,"N60 Dalabon [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name] 74 km; N76 Ngalkbon [glottolog-name→synonym, nabu-name→synonym]; N89 Buan [nabu-name→synonym]",,
6647,wrm,Warumungu,False,196,True,True,True,True,waru1265,Warumungu,language,wrm,,,single,C18,Warumungu,"C18 Warumungu [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 117 km",,
5210,rit,Ritharrngu,False,195,True,True,True,True,rita1239,Ritharrngu,language,rit,,,ambiguous,N149,Dhiyakuy,"N149 Dhiyakuy [chirila:glottocode, chirila:iso]; N104 Ritharrŋu [describo] 55 km",,
7133,zmt,Maringarr,False,161,True,True,True,True,mari1419,Maringarr,language,zmt,,,single,,,"N102 Marri Ngarr [glottolog-name→synonym, nabu-name→synonym] 47 km",,
7243,axl,"Aranda, Lower Southern",False,151,True,True,True,False,lowe1436,Lower Southern Aranda,language,axl,,,single,C29*,Lower Arrernte,"C29 Lower Arrernte [chirila:glottocode*, chirila:iso*] 38 km",,
2430,ilg,Garig-Ilgar,False,146,True,True,True,True,gari1253,Garig-Ilgar,language,ilg,,,single,N184*,Ilgar,N184 Ilgar [chirila:iso*] 88 km,,
1897,gbb,Kaytetye,False,142,True,True,True,True,kayt1238,Kaytetye,language,gbb,,,single,C13,Kaytetye,"C13 Kaytetye [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 79 km",,
236,aly,Alyawarr,False,140,True,True,True,True,alya1239,Alyawarr,language,aly,,,single,C14,Alyawarr,"C14 Alyawarr [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 168 km",,
6600,wmb,Wambaya,False,136,True,True,True,True,wamb1258,Wambayan,language,wmb,,,ambiguous,,,"C19 Wambaya [chirila:glottocode, chirila:iso, nabu-name] 80 km; N138 Binbinka [chirila:iso] 132 km",,
6770,xmu,Kamu,False,136,True,True,True,True,kamu1258,Kamu,language,xmu,,,ambiguous,N33,Kamu,"N33 Kamu [chirila:glottocode, chirila:iso, describo, glottolog-name, nabu-name] 35 km; D23 Gamilaraay / Gamilaroi / Kamilaroi [glottolog-name→synonym, nabu-name→synonym] 2636 km",,
3764,mhg,Margu,False,134,True,True,True,True,marg1251,Margu,language,mhg,,,single,N45,Marrku,"N45 Marrku [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name→synonym] 4 km",,
3725,mfr,Marrithiyel,False,126,True,True,True,True,mari1424,Marithiel,language,mfr,,,ambiguous,N7,Marrithiyel,"N7 Marrithiyel [chirila:glottocode, chirila:iso, glottolog-name→synonym, nabu-name] 25 km; N162 Marri Amu [glottolog-name→synonym] 47 km; N163 Magati Ke [nabu-name→synonym] 61 km; N9 Marridan [nabu-name→synonym] 15 km",,
