iso639_3,nabu_name,usage,retired_in_nabu,gap,detail,decision,notes
msa,Malay,180,False,macrolanguage,"37 member languages: bjn=banj1239 btj=baca1243 bve=bera1262 bvu=buki1247 coa=coco1260 dup=duan1242 hji=haji1235 ind=indo1316 jak=jaku1244 jax=jamb1236 kvb=kubu1239 kvr=keri1250 kxd=brun1242 lce=lonc1237 lcf=lubu1241 liw=coll1240 max=nort2828 meo=keda1251 mfa=patt1249 mfb=bang1365 min=mina1268 mly=mala1546 (retired) mqg=kota1275 msi=saba1263 mui=musi1241 orn=oran1258 ors=oran1259 pel=peka1242 pse=cent2053 tmw=temu1239 urk=urak1238 vkk=kaur1269 vkt=teng1267 xmm=mala1481 zlm=mala1479 zmi=nege1240 zsm=stan1306; Glottolog languoid named the same: mala1492, mala1546",,
zho,Chinese,16,False,macrolanguage,19 member languages: cdo=mind1253 cjy=jiny1235 cmn=mand1415 cnp=nort3268 cpx=puxi1243 csp=sout3250 czh=huiz1242 czo=minz1235 gan=ganc1239 hak=hakk1236 hnm=hain1238 hsn=xian1251 luh=leiz1236 lzh=lite1248 mnp=minb1236 nan=minn1241 sjc=shao1234 wuu=wuch1236 yue=yuec1235,,
mlg,Malagasy,14,False,macrolanguage,12 member languages: bhr=bara1369 bjq=sout3125 (retired) bmm=nort2890 bzc=sout2920 msh=masi1268 plt=plat1254 skg=saka1291 tdx=tand1256 tkg=tesa1236 txy=tano1246 xmv=anta1255 xmw=tsim1257,,
ori,Oriya,12,False,macrolanguage,2 member languages: ory=oriy1255 spv=samb1325,,
est,Estonian,5,False,macrolanguage,2 member languages: ekk=esto1258 vro=sout2679; Glottolog languoid named the same: esto1258,,
bik,Bikol,3,False,macrolanguage,9 member languages: bcl=cent2087 bhk=alba1269 (retired) bln=sout2912 bto=irig1242 cts=nort2883 fbl=oass1237 lbl=libo1242 rbl=dara1251 ubl=buhi1243; Glottolog languoid named the same: biko1240,,
fas,Persian,2,False,macrolanguage,2 member languages: pes=west2369 prs=dari1249,,
ara,Arabic,0,False,macrolanguage,30 member languages: aao=alge1240 abh=taji1248 abv=baha1259 acm=meso1252 acq=taiz1242 acw=hija1235 acx=oman1239 acy=cypr1248 adf=dhof1235 aeb=tuni1259 aec=said1239 afb=gulf1241 ajp=sout3123 (retired) apc=nort3139 apd=suda1236 arb=stan1318 arq=alge1239 ars=najd1235 ary=moro1292 arz=egyp1253 auz=uzbe1248 avl=east2690 ayh=hadr1236 ayl=liby1240 ayn=sana1295 ayp=nort3142 bbz=baba1273 (retired) pga=suda1237 shu=chad1249 ssh=shih1239; Glottolog languoid named the same: arab1395,,
aze,Azerbaijani,0,False,macrolanguage,2 member languages: azb=sout2697 azj=nort2697,,
bal,Baluchi,0,False,macrolanguage,3 member languages: bcc=sout2642 bgn=west2368 bgp=east2304,,
