Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
aaa				I	L	Ghotuo	
aab				I	L	Alumu-Tesu	
aac				I	L	Ari	
aad				I	L	Amal	
aae				I	L	Arbëreshë Albanian	
aaf				I	L	Aranadan	
aag				I	L	Ambrak	
aah				I	L	Abu' Arapesh	
aai				I	L	Arifama-Miniafia	
aak				I	L	Ankave	
aal				I	L	Afade	
aan				I	L	Anambé	
aao				I	L	Algerian Saharan Arabic	
aap				I	L	Pará Arára	
aaq				I	E	Eastern Abnaki	
aar	aar	aar	aa	I	L	Afar	
aas				I	L	Aasáx	
aat				I	L	Arvanitika Albanian	
aau				I	L	Abau	
aaw				I	L	Solong	
abj				I	E	Aka-Bea	
afh	afh	afh		I	C	Afrihili	
akk	akk	akk		I	H	Akkadian	
ang	ang	ang		I	H	Old English (ca. 450-1100)	
ara	ara	ara	ar	M	L	Arabic	
avk				I	C	Kotava	
bis	bis	bis	bi	I	L	Bislama	
gup				I	L	Gunwinggu	
mul	mul	mul		S	S	Multiple languages	
pjt				I	L	Pitjantjatjara	
tpi	tpi	tpi		I	L	Tok Pisin	
und	und	und		S	S	Undetermined	
wbp				I	L	Warlpiri	
zxx	zxx	zxx		S	S	No linguistic content	
